date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:27:17	285/285	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2002:57:22%20GMT	http://devoll.blahlab.com/robots.txt		(from )
08:27:17	31491/31491	---M-Z	200	added ('OK')	text/html	etag:%2214828e-7b03-513ba5eddeb00%22-gzip	http://devoll.blahlab.com/	D:/Blogging%20Site%202/devoll.blahlab.com/index.html	(from )
08:27:23	195334/195334	---M--	200	added ('OK')	text/css	etag:%22e10b0-2fb06-513ba5eddeb00%22	http://devoll.blahlab.com/css/foundation.css	D:/Blogging%20Site%202/devoll.blahlab.com/css/foundation.css	(from http://devoll.blahlab.com/)
08:27:23	95622/95622	---M--	200	added ('OK')	text/css	etag:%22e10b3-17586-513ba5eddeb00%22	http://devoll.blahlab.com/css/style.css	D:/Blogging%20Site%202/devoll.blahlab.com/css/style.css	(from http://devoll.blahlab.com/)
08:27:24	18267/18267	---M--	200	added ('OK')	text/css	etag:%22e10af-475b-513ba5eddeb00%22	http://devoll.blahlab.com/css/fontello.css	D:/Blogging%20Site%202/devoll.blahlab.com/css/fontello.css	(from http://devoll.blahlab.com/)
08:27:25	6951/6951	---M--	200	added ('OK')	application/javascript	etag:%221400ea-1b27-513ba5efc6f80%22	http://devoll.blahlab.com/javascripts/imagesloaded.pkgd.min.js	D:/Blogging%20Site%202/devoll.blahlab.com/javascripts/imagesloaded.pkgd.min.js	(from http://devoll.blahlab.com/)
08:27:26	17521/17521	---M--	200	added ('OK')	application/javascript	etag:%221400f0-4471-513ba5efc6f80%22	http://devoll.blahlab.com/javascripts/json2.js	D:/Blogging%20Site%202/devoll.blahlab.com/javascripts/json2.js	(from http://devoll.blahlab.com/)
08:27:26	12124/12124	---M--	200	added ('OK')	application/xml	etag:%2214828d-2f5c-513ba5eddeb00%22	http://devoll.blahlab.com/feed.xml	D:/Blogging%20Site%202/devoll.blahlab.com/feed.xml	(from http://devoll.blahlab.com/)
08:27:27	2175/2175	---M--	200	added ('OK')	image/png	etag:%22100f3d-87f-513ba5efc6f80%22	http://devoll.blahlab.com/images/logo-bordered.png	D:/Blogging%20Site%202/devoll.blahlab.com/images/logo-bordered.png	(from http://devoll.blahlab.com/)
08:27:27	17596/17596	---M-Z	200	added ('OK')	text/html	etag:%22148296-44bc-513ba5eddeb00%22-gzip	http://devoll.blahlab.com/about.html	D:/Blogging%20Site%202/devoll.blahlab.com/about.html	(from http://devoll.blahlab.com/)
08:27:28	10531/10531	---M-Z	200	added ('OK')	text/html	etag:%22148293-2923-513ba5eddeb00%22-gzip	http://devoll.blahlab.com/services.html	D:/Blogging%20Site%202/devoll.blahlab.com/services.html	(from http://devoll.blahlab.com/)
08:27:28	14261/14261	---M-Z	200	added ('OK')	text/html	etag:%22148290-37b5-513ba5eddeb00%22-gzip	http://devoll.blahlab.com/portfolio.html	D:/Blogging%20Site%202/devoll.blahlab.com/portfolio.html	(from http://devoll.blahlab.com/)
08:27:28	9172/9172	---M-Z	200	added ('OK')	text/html	etag:%2214828f-23d4-513ba5eddeb00%22-gzip	http://devoll.blahlab.com/portfolio-item.html	D:/Blogging%20Site%202/devoll.blahlab.com/portfolio-item.html	(from http://devoll.blahlab.com/)
08:27:29	8532/8532	---M-Z	200	added ('OK')	text/html	etag:%2214827f-2154-513ba5eddeb00%22-gzip	http://devoll.blahlab.com/contact.html	D:/Blogging%20Site%202/devoll.blahlab.com/contact.html	(from http://devoll.blahlab.com/)
08:27:29	12242/12242	---M-Z	200	added ('OK')	text/html	etag:%221500a2-2fd2-513ba5eddeb00%22-gzip	http://devoll.blahlab.com/blog/	D:/Blogging%20Site%202/devoll.blahlab.com/blog/index.html	(from http://devoll.blahlab.com/)
08:27:50	114098/114098	---M--	200	added ('OK')	image/jpeg	etag:%22138194-1bdb2-513ba5eed2d40%22	http://devoll.blahlab.com/images/@stock/work-1.jpg	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/work-1.jpg	(from http://devoll.blahlab.com/)
08:28:02	74555/74555	---M--	200	added ('OK')	image/jpeg	etag:%22138195-1233b-513ba5eed2d40%22	http://devoll.blahlab.com/images/@stock/work-2.jpg	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/work-2.jpg	(from http://devoll.blahlab.com/)
08:28:11	47811/47811	---M--	200	added ('OK')	image/jpeg	etag:%22138197-bac3-513ba5eed2d40%22	http://devoll.blahlab.com/images/@stock/work-4.jpg	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/work-4.jpg	(from http://devoll.blahlab.com/)
08:28:27	95028/95028	---M--	200	added ('OK')	image/jpeg	etag:%22138199-17334-513ba5eed2d40%22	http://devoll.blahlab.com/images/@stock/work-6.jpg	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/work-6.jpg	(from http://devoll.blahlab.com/)
08:28:39	69325/69325	---M--	200	added ('OK')	image/jpeg	etag:%2213819a-10ecd-513ba5eed2d40%22	http://devoll.blahlab.com/images/@stock/work-7.jpg	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/work-7.jpg	(from http://devoll.blahlab.com/)
08:29:01	127818/127818	---M--	200	added ('OK')	image/png	etag:%22138173-1f34a-513ba5eddeb00%22	http://devoll.blahlab.com/images/@stock/responsive.png	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/responsive.png	(from http://devoll.blahlab.com/)
08:31:08	1395184/1395184	---M--	200	added ('OK')	image/jpeg	etag:%22138189-1549f0-513ba5eed2d40%22	http://devoll.blahlab.com/images/@stock/slide-1.jpg	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/slide-1.jpg	(from http://devoll.blahlab.com/)
08:31:15	35042/35042	---M--	200	added ('OK')	image/jpeg	etag:%22138114-88e2-513ba5eddeb00%22	http://devoll.blahlab.com/images/@stock/member-1.jpg	D:/Blogging%20Site%202/devoll.blahlab.com/images/@stock/member-1.jpg	(from http://devoll.blahlab.com/)
